"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/18/2016","50","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/19/2016","74","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/20/2016","93","Ozone","RIVER TERRACE","11-001-0041","AQS"
"07/21/2016","129","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/22/2016","93","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/23/2016","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/24/2016","64","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/25/2016","84","Ozone","RIVER TERRACE","11-001-0041","AQS"
"07/26/2016","84","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/27/2016","108","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/28/2016","51","Ozone","Takoma Rec Center","11-001-0050","AQS"
"07/29/2016","71","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/30/2016","50","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/31/2016","45","Ozone","RIVER TERRACE","11-001-0041","AQS"
"08/01/2016","50","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/02/2016","67","Ozone","Takoma Rec Center","11-001-0050","AQS"
"08/03/2016","38","Ozone","Takoma Rec Center","11-001-0050","AQS"
"08/04/2016","37","Ozone","Takoma Rec Center","11-001-0050","AQS"
"08/05/2016","30","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/06/2016","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/07/2016","37","Ozone","RIVER TERRACE","11-001-0041","AQS"
"08/08/2016","43","Ozone","Takoma Rec Center","11-001-0050","AQS"
"08/09/2016","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/10/2016","35","PM2.5","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"08/11/2016","43","PM2.5","RIVER TERRACE","11-001-0041","AQS"
"08/12/2016","44","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/13/2016","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/14/2016","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/15/2016","64","Ozone","RIVER TERRACE","11-001-0041","AQS"
"08/16/2016","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/17/2016","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/18/2016","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/19/2016","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/20/2016","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/21/2016","33","PM2.5","RIVER TERRACE","11-001-0041","AQS"
"08/22/2016","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/23/2016","50","Ozone","Takoma Rec Center","11-001-0050","AQS"
"08/24/2016","45","Ozone","Takoma Rec Center","11-001-0050","AQS"
"08/25/2016","61","Ozone","Takoma Rec Center","11-001-0050","AQS"
"08/26/2016","50","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/27/2016","51","Ozone","Takoma Rec Center","11-001-0050","AQS"
"08/28/2016","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/29/2016","64","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/30/2016","71","Ozone","Takoma Rec Center","11-001-0050","AQS"
"08/31/2016","80","Ozone","Takoma Rec Center","11-001-0050","AQS"
"09/01/2016","49","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/02/2016","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/03/2016","38","Ozone","Takoma Rec Center","11-001-0050","AQS"
"09/04/2016","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/05/2016","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/06/2016","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/07/2016","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/08/2016","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/09/2016","61","Ozone","Takoma Rec Center","11-001-0050","AQS"
"09/10/2016","59","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/11/2016","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/12/2016","44","Ozone","Takoma Rec Center","11-001-0050","AQS"
"09/13/2016","50","Ozone","Takoma Rec Center","11-001-0050","AQS"
"09/14/2016","71","Ozone","Takoma Rec Center","11-001-0050","AQS"
"09/15/2016","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/16/2016","38","Ozone","Takoma Rec Center","11-001-0050","AQS"
"09/17/2016","42","PM2.5","Near Road","11-001-0051","AQS"
"09/18/2016","54","PM2.5","Near Road","11-001-0051","AQS"
"09/19/2016","60","PM2.5","Near Road","11-001-0051","AQS"
"09/20/2016","61","PM2.5","Near Road","11-001-0051","AQS"
"09/21/2016","50","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/22/2016","80","Ozone","Takoma Rec Center","11-001-0050","AQS"
"09/23/2016","112","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/24/2016","51","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/25/2016","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/26/2016","35","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/27/2016","43","PM2.5","Near Road","11-001-0051","AQS"
"09/28/2016","45","PM2.5","Near Road","11-001-0051","AQS"
"09/29/2016","23","Ozone","Takoma Rec Center","11-001-0050","AQS"
"09/30/2016","22","PM2.5","Near Road","11-001-0051","AQS"
"10/01/2016","22","PM2.5","Near Road","11-001-0051","AQS"
"10/02/2016","40","PM2.5","Near Road","11-001-0051","AQS"
"10/03/2016","49","PM2.5","Near Road","11-001-0051","AQS"
"10/04/2016","55","PM2.5","Near Road","11-001-0051","AQS"
"10/05/2016","41","PM2.5","Near Road","11-001-0051","AQS"
"10/06/2016","41","PM2.5","Near Road","11-001-0051","AQS"
"10/07/2016","43","PM2.5","Near Road","11-001-0051","AQS"
"10/08/2016","36","PM2.5","Near Road","11-001-0051","AQS"
"10/09/2016","27","PM2.5","Near Road","11-001-0051","AQS"
"10/10/2016","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/11/2016","42","NO2","Near Road","11-001-0051","AQS"
"10/12/2016","55","PM2.5","Near Road","11-001-0051","AQS"
"10/13/2016","51","PM2.5","Near Road","11-001-0051","AQS"
"10/14/2016","33","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/15/2016","50","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/16/2016","48","PM2.5","Near Road","11-001-0051","AQS"
"10/17/2016","60","PM2.5","Near Road","11-001-0051","AQS"
"10/18/2016","60","PM2.5","Near Road","11-001-0051","AQS"
"10/19/2016","63","PM2.5","Near Road","11-001-0051","AQS"
"10/20/2016","92","PM2.5","Near Road","11-001-0051","AQS"
"10/21/2016","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/22/2016","29","Ozone","RIVER TERRACE","11-001-0041","AQS"
"10/23/2016","33","Ozone","RIVER TERRACE","11-001-0041","AQS"
"10/24/2016","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/25/2016","33","NO2","RIVER TERRACE","11-001-0041","AQS"
"10/26/2016","43","PM2.5","Near Road","11-001-0051","AQS"
"10/27/2016","45","PM2.5","Near Road","11-001-0051","AQS"
"10/28/2016","34","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/29/2016","56","PM2.5","Near Road","11-001-0051","AQS"
"10/30/2016","51","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/31/2016","30","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/01/2016","43","PM2.5","Near Road","11-001-0051","AQS"
"11/02/2016","64","PM2.5","Near Road","11-001-0051","AQS"
"11/03/2016","64","PM2.5","Near Road","11-001-0051","AQS"
"11/04/2016","31","NO2","Near Road","11-001-0051","AQS"
"11/05/2016","37","PM2.5","Near Road","11-001-0051","AQS"
"11/06/2016","36","PM2.5","Near Road","11-001-0051","AQS"
"11/07/2016","36","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/08/2016","49","PM2.5","Near Road","11-001-0051","AQS"
"11/09/2016","51","PM2.5","Near Road","11-001-0051","AQS"
"11/10/2016","38","NO2","Near Road","11-001-0051","AQS"
"11/11/2016","31","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/12/2016","39","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/13/2016","54","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/14/2016","64","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/15/2016","52","PM2.5","Near Road","11-001-0051","AQS"
"11/16/2016","67","PM2.5","Near Road","11-001-0051","AQS"
"11/17/2016","62","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/18/2016","71","PM2.5","Near Road","11-001-0051","AQS"
"11/19/2016","70","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/20/2016","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/21/2016","35","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/22/2016","38","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/23/2016","60","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/24/2016","78","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/25/2016","102","PM2.5","Near Road","11-001-0051","AQS"
"11/26/2016","56","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/27/2016","52","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/28/2016","66","PM2.5","Near Road","11-001-0051","AQS"
"11/29/2016","55","PM2.5","Near Road","11-001-0051","AQS"
"11/30/2016","62","PM2.5","Near Road","11-001-0051","AQS"
"12/01/2016","43","NO2","RIVER TERRACE","11-001-0041","AQS"
"12/02/2016","36","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/03/2016","35","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/04/2016","48","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/05/2016","38","PM2.5","Near Road","11-001-0051","AQS"
"12/06/2016","56","NO2","RIVER TERRACE","11-001-0041","AQS"
"12/07/2016","57","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/08/2016","55","PM2.5","Near Road","11-001-0051","AQS"
"12/09/2016","38","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/10/2016","46","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/11/2016","56","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/12/2016","51","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/13/2016","58","PM2.5","Near Road","11-001-0051","AQS"
"12/14/2016","57","NO2","Near Road","11-001-0051","AQS"
"12/15/2016","38","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/16/2016","39","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/17/2016","62","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/18/2016","52","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/19/2016","42","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/20/2016","62","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/21/2016","63","PM2.5","Near Road","11-001-0051","AQS"
"12/22/2016","56","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/23/2016","64","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/24/2016","68","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/25/2016","63","PM2.5","Near Road","11-001-0051","AQS"
"12/26/2016","65","PM2.5","Near Road","11-001-0051","AQS"
"12/27/2016","42","PM2.5","Near Road","11-001-0051","AQS"
"12/28/2016","43","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/29/2016","49","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/30/2016","34","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/31/2016","38","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/01/2017","55","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/02/2017","54","PM2.5","Near Road","11-001-0051","AQS"
"01/03/2017","53","NO2","RIVER TERRACE","11-001-0041","AQS"
"01/04/2017","33","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/05/2017","42","NO2","RIVER TERRACE","11-001-0041","AQS"
"01/06/2017","52","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/07/2017","66","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/08/2017","52","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/09/2017","49","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/10/2017","54","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/11/2017","60","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/12/2017","51","PM2.5","Near Road","11-001-0051","AQS"
"01/13/2017","57","NO2","RIVER TERRACE","11-001-0041","AQS"
"01/14/2017","53","PM2.5","Near Road","11-001-0051","AQS"
"01/15/2017","59","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/16/2017","64","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/17/2017","68","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/18/2017","48","PM2.5","Near Road","11-001-0051","AQS"
"01/19/2017","41","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/20/2017","56","PM2.5","Near Road","11-001-0051","AQS"
"01/21/2017","46","PM2.5","Near Road","11-001-0051","AQS"
"01/22/2017","39","PM2.5","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"01/23/2017","24","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/24/2017","28","NO2","Near Road","11-001-0051","AQS"
"01/25/2017","45","NO2","Near Road","11-001-0051","AQS"
"01/26/2017","47","NO2","Near Road","11-001-0051","AQS"
"01/27/2017","25","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/28/2017","44","NO2","Near Road","11-001-0051","AQS"
"01/29/2017","44","NO2","Near Road","11-001-0051","AQS"
"01/30/2017","46","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/31/2017","51","NO2","Near Road","11-001-0051","AQS"
"02/01/2017","81","NO2","Near Road","11-001-0051","AQS"
"02/02/2017","41","NO2","Near Road","11-001-0051","AQS"
"02/03/2017","40","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/04/2017","45","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/05/2017","55","PM2.5","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"02/06/2017","74","NO2","Near Road","11-001-0051","AQS"
"02/07/2017","54","PM2.5","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"02/08/2017","60","NO2","RIVER TERRACE","11-001-0041","AQS"
"02/09/2017","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/10/2017","38","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/11/2017","60","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/12/2017","63","PM2.5","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"02/13/2017","53","NO2","Near Road","11-001-0051","AQS"
"02/14/2017","55","NO2","Near Road","11-001-0051","AQS"
"02/15/2017","70","NO2","Near Road","11-001-0051","AQS"
"02/16/2017","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/17/2017","49","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/18/2017","59","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/19/2017","52","PM2.5","Near Road","11-001-0051","AQS"
"02/20/2017","45","PM2.5","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"02/21/2017","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/22/2017","52","PM2.5","Near Road","11-001-0051","AQS"
"02/23/2017","44","PM2.5","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"02/24/2017","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/25/2017","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/26/2017","38","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/27/2017","52","PM2.5","Near Road","11-001-0051","AQS"
"02/28/2017","56","PM2.5","Near Road","11-001-0051","AQS"
"03/01/2017","45","PM2.5","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"03/02/2017","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/03/2017","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/04/2017","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/05/2017","44","NO2","Near Road","11-001-0051","AQS"
"03/06/2017","50","PM2.5","Near Road","11-001-0051","AQS"
"03/07/2017","52","PM2.5","Near Road","11-001-0051","AQS"
"03/08/2017","44","Ozone","Takoma Rec Center","11-001-0050","AQS"
"03/09/2017","56","NO2","Near Road","11-001-0051","AQS"
"03/10/2017","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/11/2017","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/12/2017","40","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/13/2017","52","NO2","Near Road","11-001-0051","AQS"
"03/14/2017","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/15/2017","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/16/2017","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/17/2017","57","NO2","Near Road","11-001-0051","AQS"
"03/18/2017","55","PM2.5","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"03/19/2017","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/20/2017","50","NO2","Near Road","11-001-0051","AQS"
"03/21/2017","54","PM2.5","RIVER TERRACE","11-001-0041","AQS"
"03/22/2017","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/23/2017","55","NO2","Near Road","11-001-0051","AQS"
"03/24/2017","48","PM2.5","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"03/25/2017","57","PM2.5","Near Road","11-001-0051","AQS"
"03/26/2017","52","PM2.5","Near Road","11-001-0051","AQS"
"03/27/2017","50","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/28/2017","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/29/2017","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/30/2017","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/31/2017","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/01/2017","33","PM2.5","Near Road","11-001-0051","AQS"
"04/02/2017","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/03/2017","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/04/2017","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/05/2017","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/06/2017","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/07/2017","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/08/2017","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/09/2017","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/10/2017","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/11/2017","84","Ozone","Takoma Rec Center","11-001-0050","AQS"
"04/12/2017","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/13/2017","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/14/2017","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/15/2017","50","PM2.5","Near Road","11-001-0051","AQS"
"04/16/2017","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/17/2017","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/18/2017","48","Ozone","Takoma Rec Center","11-001-0050","AQS"
"04/19/2017","32","PM2.5","Near Road","11-001-0051","AQS"
"04/20/2017","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/21/2017","65","PM2.5","Near Road","11-001-0051","AQS"
"04/22/2017","56","PM2.5","RIVER TERRACE","11-001-0041","AQS"
"04/23/2017","30","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/24/2017","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/25/2017","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/26/2017","30","PM2.5","Near Road","11-001-0051","AQS"
"04/27/2017","65","PM2.5","Near Road","11-001-0051","AQS"
"04/28/2017","62","PM2.5","Near Road","11-001-0051","AQS"
"04/29/2017","65","PM2.5","Near Road","11-001-0051","AQS"
"04/30/2017","63","PM2.5","Near Road","11-001-0051","AQS"
"05/01/2017","49","PM2.5","Near Road","11-001-0051","AQS"
"05/02/2017","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/03/2017","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/04/2017","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/05/2017","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/06/2017","28","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/07/2017","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/08/2017","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/09/2017","52","PM2.5","RIVER TERRACE","11-001-0041","AQS"
"05/10/2017","93","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/11/2017","52","PM2.5","Near Road","11-001-0051","AQS"
"05/12/2017","33","PM2.5","Near Road","11-001-0051","AQS"
"05/13/2017","30","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/14/2017","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/15/2017","47","Ozone","RIVER TERRACE","11-001-0041","AQS"
"05/16/2017","67","Ozone","Takoma Rec Center","11-001-0050","AQS"
"05/17/2017","105","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/18/2017","74","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/19/2017","60","PM2.5","Near Road","11-001-0051","AQS"
"05/20/2017","44","PM2.5","Near Road","11-001-0051","AQS"
"05/21/2017","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/22/2017","32","PM2.5","Near Road","11-001-0051","AQS"
"05/23/2017","54","PM2.5","Near Road","11-001-0051","AQS"
"05/24/2017","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/25/2017","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/26/2017","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/27/2017","45","PM2.5","Near Road","11-001-0051","AQS"
"05/28/2017","50","PM2.5","Near Road","11-001-0051","AQS"
"05/29/2017","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/30/2017","42","PM2.5","Near Road","11-001-0051","AQS"
"05/31/2017","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/01/2017","64","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/02/2017","50","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/03/2017","64","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/04/2017","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/05/2017","52","PM2.5","Near Road","11-001-0051","AQS"
"06/06/2017","45","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/07/2017","39","PM2.5","Near Road","11-001-0051","AQS"
"06/08/2017","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/09/2017","50","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/10/2017","87","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/11/2017","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/12/2017","66","PM2.5","Near Road","11-001-0051","AQS"
"06/13/2017","80","Ozone","Takoma Rec Center","11-001-0050","AQS"
"06/14/2017","108","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/15/2017","54","PM2.5","Near Road","11-001-0051","AQS"
"06/16/2017","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/17/2017","39","PM2.5","Near Road","11-001-0051","AQS"
"06/18/2017","47","PM2.5","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"06/19/2017","35","PM2.5","Near Road","11-001-0051","AQS"
"06/20/2017","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/21/2017","67","Ozone","Takoma Rec Center","11-001-0050","AQS"
"06/22/2017","61","Ozone","Takoma Rec Center","11-001-0050","AQS"
"06/23/2017","44","PM2.5","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"06/24/2017","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/25/2017","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
