Date, AQI Value,PBLH (m),CO (ppm),O3 (ppm),PM 2.5 (ug/m3),PM 10 (ug/m3),SO2 (ppb),NO2 (ppb)
04/28/2011,44,1687.7104,7,44,40,0,0,12
04/29/2011,45,2181.8464,7,45,28,0,0,34
04/30/2011,39,1425.0193,7,39,20,0,0,26
05/01/2011,36,873.62213,8,31,36,0,0,27
05/02/2011,49,1448.4901,9,43,49,0,0,34
05/03/2011,56,1816.5363,9,43,56,26,0,20
05/04/2011,37,1910.5156,7,37,20,0,0,16
05/05/2011,48,2778.1216,8,48,27,0,0,46
05/06/2011,51,2228.2122,10,51,40,0,0,38
05/07/2011,50,2275.2979,8,50,40,0,0,19
05/08/2011,54,1975.6965,11,54,52,0,0,35
05/09/2011,48,2155.5918,13,48,48,24,0,39
05/10/2011,49,1483.6244,10,49,27,0,0,41
05/11/2011,74,1728.1245,8,74,34,0,0,24
05/12/2011,58,1295.9055,9,58,47,0,0,24
05/13/2011,59,796.63385,9,34,59,0,0,20
05/14/2011,40,582.4203,8,31,40,0,0,15
05/15/2011,45,1068.6366,8,44,45,13,0,17
05/16/2011,48,1584.0355,10,44,48,0,0,37
05/17/2011,43,1224.437,10,43,33,0,0,18
05/18/2011,37,1237.3484,9,37,35,0,0,26
05/19/2011,42,1421.2754,10,39,42,0,0,32
05/20/2011,59,1430.395,9,42,59,0,0,33
05/21/2011,51,2005.599,9,51,49,19,0,40
05/22/2011,59,1395.0208,11,50,59,0,0,38
05/23/2011,69,1396.2687,9,42,69,0,0,20
05/24/2011,60,2058.8765,9,44,60,0,0,34
05/25/2011,93,1641.4888,9,93,57,0,0,22
05/26/2011,80,1927.6028,10,58,80,0,0,20
05/27/2011,57,1526.4384,9,49,57,25,0,25
05/28/2011,42,1585.5234,8,42,38,0,0,10
05/29/2011,67,1197.5583,9,33,67,0,0,11
05/30/2011,100,1923.187,10,100,76,0,0,35
05/31/2011,150,2069.9639,11,150,93,0,0,35
06/01/2011,90,1932.0667,10,74,90,0,0,25
06/02/2011,97,1978.5764,9,97,33,30,0,19
06/03/2011,51,1801.8489,9,51,23,0,0,39
06/04/2011,108,1481.5605,13,108,90,0,0,37
06/05/2011,93,1450.362,9,93,61,0,0,19
06/06/2011,93,2349.9343,9,93,56,0,0,29
06/07/2011,93,2007.3269,10,93,64,0,0,27
06/08/2011,143,2201.8613,11,143,88,42,0,36
06/09/2011,122,2646.416,13,122,89,0,0,25
06/10/2011,166,2096.9385,13,166,79,0,0,28
06/11/2011,101,1745.7396,13,101,72,0,0,20
06/12/2011,77,2065.548,10,77,64,0,0,22
06/13/2011,42,2172.9668,10,42,37,0,0,12
06/14/2011,67,1836.6472,9,36,67,16,0,15
06/15/2011,54,2246.0674,9,54,43,0,0,32
06/16/2011,55,1644.9926,11,44,55,0,0,30
06/17/2011,64,2178.8706,11,64,48,0,0,26
06/18/2011,80,1761.8188,11,80,56,0,0,23
06/19/2011,97,1526.1504,11,97,66,0,0,24
06/20/2011,67,1545.8293,11,67,58,19,0,16
06/21/2011,58,1061.8689,13,58,56,0,0,24
06/22/2011,53,1695.6301,14,46,53,0,0,25
06/23/2011,46,1322.0164,11,38,46,0,0,20
06/24/2011,51,1986.7839,10,51,31,0,0,17
06/25/2011,47,1468.5531,9,44,47,0,0,9
06/26/2011,45,1832.7594,10,44,45,19,0,19
06/27/2011,63,915.3321,10,54,63,0,0,34
06/28/2011,80,1655.8401,8,80,56,0,0,39
06/29/2011,77,2155.2559,5,77,46,0,0,18
06/30/2011,74,2214.4849,5,74,40,0,0,32
07/01/2011,119,2706.6528,8,119,54,0,0,42
07/02/2011,151,2524.4058,10,151,63,0,0,45
07/03/2011,100,2340.1907,6,100,68,0,0,25
07/04/2011,97,1680.1268,6,74,97,52,0,25
07/05/2011,108,1974.1605,6,108,64,0,0,25
07/06/2011,69,1204.662,7,48,69,0,0,37
07/07/2011,154,2331.599,7,154,70,0,0,21
07/08/2011,62,1227.7489,7,44,62,23,0,20
07/09/2011,67,2207.1892,6,67,55,0,0,21
